mr,text
"confirm(name[We Are the World], producer[Michael Omartian])"," Afrikan tähti, also known as African Star or Diamond Hunt, is a 1951 roll-and-move board game for 2 to 6 players with a simple complexity rating."
"confirm(name[Apple Shampoo], instance_of[musical work/composition])",You didn't like Monopoly. Do you usually find roll-and-move games with resource management mechanics boring?
"confirm(name[Style], is_from_album[True])"," Carcassonne Jubilee Edition, also known as Carcassonne, is a moderate German-style board game from 2000 with a good rating. It can be played in up to 45 minutes."
"confirm(name[Get Up!], performer[Skrillex, Korn])",Betrayal at House on the Hill is a complex cooperative board game developed by Bruce Glassco for Hasbro in 2004. It requires at least 3 players and a minimum playing time of 60 minutes.
"confirm(name[Wanna Get to Know You], performer[Joe, G-Unit])"," Have you ever played a board game published by GMT Games, like Twilight Struggle?"
"confirm(name[Seven Nation Army], producer[Jack White])",Have you ever played a board game like Betrayal at House on the Hill?
"confirm(name[Kings of the Wild Frontier], publication_year[1980])",Punaisten ja valkoisten taistelu Suomessa 1918 is a 1918 wargame board game for 2 players with a poor rating.
"confirm(name[We Are the World], is_from_album[True])"," Frank Herberts Dune, also known as Dune, is a science fiction board game published by Avalon Hill. It requires a minimum of 2 players and 60 minutes."
"confirm(name[Afterlife], producer[James Murphy])"," Have you ever heard of Scotland Yard, or its alternate name Fanton? It's a board game."
"confirm(name[Break My Soul], genres[house music])",You found Scotland Yard to be just average. Is this the same for other deduction board games?
"confirm(name[Somebody That I Used to Know], performer[Gotye, Kimbra])"," Are you familiar with Cosmic Encounter, a science fiction board game?"
"confirm(name[Marilyn Monroe], producer[Pharrell Williams])"," Have you ever played Carcassonne, a German-style board game by Hans im Glück?"
"confirm(name[So Good], genres[pop rap])"," Have you heard of Sherlock Holmes Consulting Detective, the deduction board game?"
"confirm(name[Careless Whisper], is_from_album[True])"," A Game of Thrones is an advanced fantasy board game for 3 to 5 players, with a good rating."
"confirm(name[Mad Love], genres[electropop])",Sherlock Holmes Consulting Detective is a complex deduction board game with a maximum playing time of 120 minutes and game mechanics of deductive reasoning.
"confirm(name[Space Oddity], genres[space rock])"," Lord of the Rings is a fantasy board game for 2-5 players, with an average rating."
"confirm(name[Right Here, Right Now], from_album[D茅j脿 Vu])"," Have you ever played Barbarossa, the Franckh-Kosmos board game?"
"confirm(name[Y.M.C.A.], performer[Village People])",You said War of 1812 was just okay. Do you think all board games from Columbia Games are mediocre?
"confirm(name[The Way I Are], producer[Joel Little])",You found Mystery Motive for Murder to be just okay. Do you think all mystery fiction board games from Mayfair Games are mediocre?
