pseudo_mr,text
"Afrikan tähti genre roll-and-move. Afrikan tähti minimum number of players 2. Afrikan tähti alternate names African Star, Diamond Hunt. Afrikan tähti publication year 1951. Afrikan tähti maximum number of players 6. Afrikan tähti instance of board game. Afrikan tähti complexity rating simple. Afrikan tähti domain board game."," Afrikan tähti, also known as African Star or Diamond Hunt, is a 1951 roll-and-move board game for 2 to 6 players with a simple complexity rating."
Monopoly average rating poor. Monopoly game mechanics resource management. Monopoly genre roll-and-move. Monopoly domain board game.,You didn't like Monopoly. Do you usually find roll-and-move games with resource management mechanics boring?
Carcassonne genre German-style board game. Carcassonne average rating good. Carcassonne maximum playing time 45. Carcassonne complexity rating moderate. Carcassonne publication year 2000. Carcassonne alternate names Carcassonne Jubilee Edition. Carcassonne country of origin Germany. Carcassonne domain board game.," Carcassonne Jubilee Edition, also known as Carcassonne, is a moderate German-style board game from 2000 with a good rating. It can be played in up to 45 minutes."
Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill minimum playing time 60. Betrayal at House on the Hill publisher Hasbro. Betrayal at House on the Hill minimum number of players 3. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill publication year 2004. Betrayal at House on the Hill complexity rating complex. Betrayal at House on the Hill domain board game.,Betrayal at House on the Hill is a complex cooperative board game developed by Bruce Glassco for Hasbro in 2004. It requires at least 3 players and a minimum playing time of 60 minutes.
Twilight Struggle publisher GMT Games. Twilight Struggle domain board game.," Have you ever played a board game published by GMT Games, like Twilight Struggle?"
Betrayal at House on the Hill domain board game.,Have you ever played a board game like Betrayal at House on the Hill?
Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 average rating poor. Punaisten ja valkoisten taistelu Suomessa 1918 publication year 1918. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 maximum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.,Punaisten ja valkoisten taistelu Suomessa 1918 is a 1918 wargame board game for 2 players with a poor rating.
Dune genre science fiction. Dune minimum number of players 2. Dune publisher Avalon Hill. Dune alternate names Frank Herberts Dune. Dune minimum playing time 60. Dune instance of board game. Dune domain board game.," Frank Herberts Dune, also known as Dune, is a science fiction board game published by Avalon Hill. It requires a minimum of 2 players and 60 minutes."
Scotland Yard alternate names Fanton. Scotland Yard instance of board game. Scotland Yard domain board game.," Have you ever heard of Scotland Yard, or its alternate name Fanton? It's a board game."
Scotland Yard average rating average. Scotland Yard genre deduction game. Scotland Yard domain board game.,You found Scotland Yard to be just average. Is this the same for other deduction board games?
Cosmic Encounter instance of board game. Cosmic Encounter genre science fiction. Cosmic Encounter domain board game.," Are you familiar with Cosmic Encounter, a science fiction board game?"
Carcassonne publisher Hans im Glück. Carcassonne genre German-style board game. Carcassonne domain board game.," Have you ever played Carcassonne, a German-style board game by Hans im Glück?"
Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective domain board game.," Have you heard of Sherlock Holmes Consulting Detective, the deduction board game?"
A Game of Thrones genre fantasy. A Game of Thrones maximum number of players 5. A Game of Thrones average rating good. A Game of Thrones minimum number of players 3. A Game of Thrones complexity rating advanced. A Game of Thrones domain board game.," A Game of Thrones is an advanced fantasy board game for 3 to 5 players, with a good rating."
Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective complexity rating complex. Sherlock Holmes Consulting Detective maximum playing time 120. Sherlock Holmes Consulting Detective game mechanics deductive reasoning. Sherlock Holmes Consulting Detective domain board game.,Sherlock Holmes Consulting Detective is a complex deduction board game with a maximum playing time of 120 minutes and game mechanics of deductive reasoning.
Lord of the Rings genre fantasy. Lord of the Rings minimum number of players 2. Lord of the Rings maximum number of players 5. Lord of the Rings average rating average. Lord of the Rings domain board game.," Lord of the Rings is a fantasy board game for 2-5 players, with an average rating."
Barbarossa publisher Franckh-Kosmos. Barbarossa instance of board game. Barbarossa domain board game.," Have you ever played Barbarossa, the Franckh-Kosmos board game?"
War of 1812 average rating average. War of 1812 instance of board game. War of 1812 publisher Columbia Games. War of 1812 domain board game.,You said War of 1812 was just okay. Do you think all board games from Columbia Games are mediocre?
Mystery Motive for Murder average rating average. Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder domain board game.,You found Mystery Motive for Murder to be just okay. Do you think all mystery fiction board games from Mayfair Games are mediocre?
Mystery Motive for Murder average rating average. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder domain board game.,You found Mystery Motive for Murder to be just okay. Do you think all board games by Mayfair Games are mediocre?
Enchanted Forest average rating average. Enchanted Forest publisher Ravensburger. Enchanted Forest minimum number of players 2. Enchanted Forest domain board game.," Enchanted Forest is an average board game, but I like that it's published by Ravensburger and the minimum number of players is only 2."
Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.," Have you ever played a board game from Finland, such as Punaisten ja valkoisten taistelu Suomessa 1918?"
Cosmic Encounter domain board game.,Are you talking about the board game Cosmic Encounter?
Chicago average rating poor. Chicago publisher Playmix. Chicago domain board game.,You didn't like Chicago. Do you think most board games from Playmix are boring?
Mangala genre abstract strategy game. Mangala instance of board game. Mangala complexity rating simple. Mangala maximum number of players 2. Mangala based on mancala. Mangala average rating average. Mangala domain board game.," Mangala is a simple abstract strategy board game for up to two players, based on mancala, with an average rating."
