,name,genres,publication_date,producer,director,screenwriter,cast_member,MPA_rating,cast_member.character_role,rating
0,Top Gun: Maverick,"{'drama film', 'action film'}",2022,"{'Christopher McQuarrie', 'David Ellison', 'Jerry Bruckheimer', 'Dana Goldberg', 'Tom Cruise', 'Don Granger'}",Joseph Kosinski,"{'Justin Marks', 'Peter Craig', 'Christopher McQuarrie', 'Eric Warren Singer', 'Ashley Miller', 'Ehren Kruger', 'Zack Stentz'}","{'Ed Harris', 'Ghadir Mounib', 'Charles Parnell', 'Mark Anthony Cox', 'Glen Powell', 'Gerren Hall', 'Kara Wang', 'Tom Cruise', 'Miles Teller', 'Raymond Lee', 'Monica Barbaro', 'Val Kilmer', 'Lewis Pullman', 'Thomasin McKenzie', 'Lyliana Wray', 'Bashir Salahuddin', 'Jack Schumacher', 'Jon Hamm', 'Doug Lito', 'Jake Picking', 'Randy Davison', 'Jean Louisa Kelly', 'Bob Stephenson', 'Manny Jacinto', 'James Handy', 'Danny Ramirez', 'Jay Ellis', 'Jennifer Connelly', 'Peter Mark Kendall'}",PG-13,"{""Raymond Lee as Lt. Logan 'Yale' Lee"", ""Kara Wang as Lt. Callie 'Halo' Bassett"", ""Charles Parnell as Adm. Solomon 'Warlock' Bates"", 'Jean Louisa Kelly as Sarah Kazansky', ""Monica Barbaro as Lt. Natasha 'Phoenix' Trace"", ""Jack Schumacher as Lt. Neil 'Omaha' Vikander"", ""Ed Harris as Radm. Chester 'Hammer' Cain"", 'James Handy as Jimmy', ""Manny Jacinto as Lt. Billy 'Fritz' Avalone"", ""Val Kilmer as Adm. Tom 'Iceman' Kazansky"", ""Lewis Pullman as Lt. Robert 'Bob' Floyd"", ""Danny Ramirez as Lt. Mickey 'Fanboy' Garcia"", ""Jon Hamm as Adm. Beau 'Cyclone' Simpson"", ""Bashir Salahuddin as Wo-1. Bernie 'Hondo' Coleman"", 'Jennifer Connelly as Penny Benjamin', ""Glen Powell as Lt. Jake 'Hangman' Seresin"", ""Jake Picking as Lt. Brigham 'Harvard' Lennox"", 'Lyliana Wray as Amelia', 'Peter Mark Kendall as Simon', ""Jay Ellis as Lt. Reuben 'Payback' Fitch"", ""Tom Cruise as Capt. Pete 'Maverick' Mitchell"", ""Miles Teller as Lt. Bradley 'Rooster' Bradshaw""}",excellent
1,Doctor Strange in the Multiverse of Madness,"{'horror film', 'action film', 'adventure film', 'fantasy film', 'superhero film', 'science fiction film'}",2022,{'Kevin Feige'},Sam Raimi,{'Michael Waldron'},"{'Patrick Stewart', 'Benedict Wong', 'Hayley Atwell', 'Anson Mount', 'Charlize Theron', 'Benedict Cumberbatch', 'Julian Hilliard', 'Topo Wresniwiro', 'Michael Stuhlbarg', 'Xochitl Gomez', 'Rachel McAdams', 'John Krasinski', 'Lashana Lynch', 'Chiwetel Ejiofor', 'Elizabeth Olsen', 'Bruce Campbell', 'Sheila Atim', 'Jett Klyne'}",PG-13,"{'Bruce Campbell as Pizza Poppa', 'Julian Hilliard as Billy Maximoff', 'Jett Klyne as Tommy Maximoff', 'Sheila Atim as Sara'}",average
2,Avatar: The Way of Water,"{'speculative/fantastic fiction film', 'action film', 'adventure film', 'drama film', 'epic film', 'science fiction film'}",2022,"{'James Cameron', 'Jon Landau'}",James Cameron,"{'James Cameron', 'Josh Friedman', 'Shane Salerno', 'Rick Jaffa and Amanda Silver'}","{'Dileep Rao', 'Zoe Saldana', 'Jamie Flatters', 'Giovanni Ribisi', 'Filip Geljo', 'Joel David Moore', 'Kate Winslet', 'Keston John', 'Robert Okumu', 'Edie Falco', 'CCH Pounder', 'Sigourney Weaver', 'Duane Evans Jr.', 'Stephen Lang', 'Jack Champion', 'Sean Anthony Moran', 'Britain Dalton', 'Sam Worthington', 'Matt Gerald', 'CJ Jones', 'Jemaine Clement', 'Jennifer Stafford', 'Kevin Dorman', 'Cliff Curtis', 'Alicia Vela-Bailey', 'Bailey Bass', 'Trinity Jo-Li Bliss', 'Brendan Cowell'}",PG-13,"{'Keston John as Tarsem', ""Jennifer Stafford as Ta'unui Tsahik"", 'Alicia Vela-Bailey as Zdinarsk', 'Kevin Dorman as Mansk', 'Dileep Rao as Max Patel', 'Duane Evans Jr. as Rotxo', 'Joel David Moore as Norm Spellman', 'Matt Gerald as Lyle Wainfleet', ""Robert Okumu as Ta'unui Olo'eyktan"", 'Sean Anthony Moran as Sean Fike', 'Jemaine Clement as Dr. Ian Garvin', 'Giovanni Ribisi as Parker Selfridge', 'Brendan Cowell as Mick Scoresby', 'Edie Falco as Frances Ardmore'}",good
3,Thor: Love and Thunder,"{'superhero film', 'action film', 'adventure film', 'science fiction film'}",2022,{'Kevin Feige'},Taika Waititi,"{'Taika Waititi', 'Jennifer Kaytin Robinson'}","{'Taika Waititi', 'Cameron Chapek', 'Gemma Dart', 'Natalie Portman', 'Natasha Cheng', 'Xander Mouradian', 'Luka Bale', 'Vin Diesel', 'Rex Bale', 'Samson Alston', 'Sean Gunn', 'Jane Yubin Kim', 'David Hambly', 'Chris Hemsworth', 'Samantha Allsop', 'Pom Klementieff', 'Simon Russell Beale', 'Kieron L. Dyer', 'Yure Covich', 'Arka Das', 'Gabriel Siemer', 'Nazih Kheir', 'Evan Stanhope', 'Alan Tsibulya', 'Karen Gillan', 'Simone Landers', 'Aleph Millepied', 'Garth Wood', 'Elsa Rodrigo-Porter', 'Ava Caryofyllis', 'Sam Neill', 'Indiana Evans', 'Jessica May Lynne', 'Josh Heuston', 'Chayla Korewha', 'Alanis Long Borrello', 'Idris Elba', 'Bobby Holland Hanton', 'Jenny Morris', 'Carmen Foon', 'Dave Bautista', 'Stellan Skarsgård', 'Chris Pratt', 'Rafael Siemer', 'Jenna Owen', 'Kim Doan', 'Jaimie Alexander', 'Ben Falcone', 'Victoria Ferrara', 'Jonny Brugh', 'Mayzie Winderbaum', 'Stephen Curry', 'Victoria Zerbst', 'Alan Spies', 'Brett Goldstein', 'Chanique Greyling', 'Janessa Dufty', 'Luca Darda', 'Amala Millepied', 'Indeia Booc', 'Eliza Matengu', 'Matt Damon', 'Adam Todd', ""Matatia Foa'i"", ""Te Kainga O'Te Hinekahu Waititi"", 'Greg Mitchell', 'Dianne Close', 'Briegh Winderbaum', 'Clariza Vicente', 'Arias Vang', 'Jacob Yee', 'Elsa Pataky', 'Akosia Sabet', 'Brooke Satchwell', 'Stephen Hunter', 'Christian Bale', 'Tristan Hemsworth', 'Andrew Crawford', 'Cayla Sutherland', 'India Rose Hemsworth', 'Johnny Nasser', 'Zali Mae Harrison', 'Rosangela Fasano', 'Indiana Ierano', 'Sienna Ngeru', 'Tatyana Gillam', 'Olivia Vasquez', 'Sasha Hemsworth', 'Chloé Gouneau', 'Tessa Thompson', 'Priscilla Doueihy', 'Kat Dennings', 'Bradley Cooper', 'Luke Hemsworth', 'Shari Sebbens', 'Tui Vincent', 'Russell Crowe', 'Zia Kelly', 'Ava Rodrigo-Porter', 'Justin Paul Hitchcock', 'Bo Chambers', 'Matewa Kiritapu Waititi', 'Kaan Guldur', 'Suren Jayemanne', 'Melissa McCarthy', 'Hannah Gray', 'Carly Rees', 'Simona Paparelli', 'Jaimee Rose Lynn', 'Manny Spero', 'Ronin Fabi', 'Nicole Milinkovic', 'Ben Sinclair', 'Alan Dukes', 'Kuni Hashimoto', 'Izaac Winderbaum', 'Imaan Hadchiti', 'Daley Pearson', 'Molly Moriarty', 'Corban Ierano', 'Luc Barrett', 'Leeton Alan Ingrey', 'Nico Cortez', 'Dave Cory'}",PG-13,"{'Stephen Hunter as Fur God', 'Carmen Foon as Minerva', 'Kieron L. Dyer as Axl', 'Alan Tsibulya as Sycophant God', 'Chris Pratt as Peter Quill / Star-Lord', 'Stephen Curry as King Yakan', 'Idris Elba as Heimdall', 'Kaan Guldur as Wolfboy', 'Garth Wood as Guard', 'David Hambly as Zeus Harpist', 'Ben Falcone as Stage Manager', 'Jaimee Rose Lynn as Asgardian Kid', 'Izaac Winderbaum as Ship Tourist', 'Vin Diesel as Groot', 'Tristan Hemsworth as Kid Thor', 'Indiana Evans as Zeusette', 'Ben Sinclair as Science Friend', 'Nazih Kheir as Masked God', 'Taika Waititi as Korg / Old Kronan God', 'Andrew Crawford as Flower God', 'Samson Alston as Teenage Thor', 'Alan Dukes as US Delegate', 'Johnny Nasser as Asgardian', 'Tatyana Gillam as Zeusette', 'Olivia Vasquez as Zeusette', 'Simona Paparelli as Bao, God of Dumplings', 'Yure Covich as Guard', 'Suren Jayemanne as Asgardian Stagehand', 'Justin Paul Hitchcock as Masked God', 'Ronin Fabi as Asgardian Kid', 'Alanis Long Borrello as Ship Tourist', 'Rex Bale as Asgardian Kid', 'Nicole Milinkovic as Elche Goddess', 'Arias Vang as Asgardian Kid', 'Jane Yubin Kim as Asgardian Doctor', 'Rafael Siemer as Asgardian Kid', 'Xander Mouradian as Asgardian Kid', 'Greg Mitchell as Asgard Tourist', 'Jacob Yee as Asgardian Kid', 'Zali Mae Harrison as Asgardian Kid', 'Indeia Booc as Blue Girl', 'Tui Vincent as Alien Child', 'Jaimie Alexander as Sif', 'Indiana Ierano as Red Girl', 'Hannah Gray as Asgardian Kid', 'Melissa McCarthy as Actor Hela', 'Sam Neill as Actor Odin', 'Arka Das as Sycophant God', 'Ava Caryofyllis as Young Jane', 'Nico Cortez as Aztec God', 'Josh Heuston as Zeus Pretty Boy', 'Chris Hemsworth as Thor', 'Victoria Ferrara as Falligarian Kid', 'Mayzie Winderbaum as Ship Tourist', 'Ben Falcone as Asgardian Stage Manager', 'Dave Bautista as Drax', 'Pom Klementieff as Mantis', 'Priscilla Doueihy as Artemis God', 'Karen Gillan as Nebula', 'Amala Millepied as Asgardian Kid', 'Matewa Kiritapu Waititi as Asgardian Kid', 'Jonny Brugh as Rapu', 'Aleph Millepied as Asgardian Kid', 'Jenna Owen as Asgardian', 'Christian Bale as Gorr', 'Manny Spero as Chemo Ward Patient', 'Bobby Holland Hanton as Habooska The Horrible', 'Rosangela Fasano as Alien Woman', 'Dianne Close as Asgard Tourist', 'Ava Rodrigo-Porter as Pink Alien Sister', 'Elsa Rodrigo-Porter as Pink Alien Sister', 'Russell Crowe as Zeus', 'Tessa Thompson as King Valkyrie', 'Daley Pearson as Darryl The Tour Guide', 'Kuni Hashimoto as Jademurai God', 'Leeton Alan Ingrey as Asgardian Kid', 'Janessa Dufty as Dancing God', ""India Rose Hemsworth as Gorr's Daughter / Love"", 'Zia Kelly as Pirate Woman', 'Luca Darda as Asgardian Kid', 'Corban Ierano as Asgardian Kid', 'Dave Cory as Kronan Dwayne', 'Brett Goldstein as Hercules', 'Imaan Hadchiti as Mayan God', 'Bradley Cooper as Rocket', ""Matatia Foa'i as Guard"", 'Gemma Dart as Asgardian', 'Cameron Chapek as Baby Thor', 'Elsa Pataky as Wolf Woman', ""Eliza Matengu as Grace (Axl's Mother)"", 'Bo Chambers as Asgardian Kid', 'Adam Todd as Zeus Pretty Boy', 'Gabriel Siemer as Asgardian Kid', 'Sean Gunn as Kraglin / On-Set Rocket', 'Briegh Winderbaum as Ship Tourist', 'Natalie Portman as Jane Foster / The Mighty Thor', 'Alan Spies as Asgardian Pan Flute Player', 'Samantha Allsop as Zeusette', 'Natasha Cheng as Asgardian Stagehand', 'Evan Stanhope as Asgardian Kid', 'Chanique Greyling as Young Frigga', 'Sasha Hemsworth as Asgardian Kid', 'Shari Sebbens as Asgardian', 'Cayla Sutherland as Cocoon Girl', 'Luka Bale as Infinity Conez Vendor', 'Simon Russell Beale as Dionysus', ""Te Kainga O'Te Hinekahu Waititi as Asgardian Kid"", 'Sienna Ngeru as Asgardian Kid', 'Molly Moriarty as Asgardian Kid', 'Victoria Zerbst as Asgardian', 'Simone Landers as Asgardian Kid', 'Kim Doan as Asgardian Kid', 'Brooke Satchwell as Indigarrian Woman Glenda', 'Luke Hemsworth as Actor Thor', 'Jessica May Lynne as Asgardian Kid', 'Clariza Vicente as Goddess of the Dead', 'Carly Rees as Miek', ""Chloé Gouneau as Jane's Mother"", 'Luc Barrett as Asgardian Kid', 'Chayla Korewha as Maori Princess'}",average
4,Avatar,"{'action film', 'adventure film', 'military science fiction', 'live-action/animated film', 'science fiction film'}",2022,"{'James Cameron', 'Jon Landau'}",James Cameron,{'James Cameron'},"{'Dileep Rao', 'Ilram Choi', 'Sam Worthington', 'Zoe Saldana', 'Anthony Ingruber', 'Giovanni Ribisi', 'CCH Pounder', 'Sigourney Weaver', 'Laz Alonso', 'Matt Gerald', 'Debra Wilson', 'Stephen Lang', 'Alicia Vela-Bailey', 'Joel David Moore', 'Michelle Rodriguez', 'Peter Mensah', 'Wes Studi', 'Scott Lawrence'}",PG-13,"{'Alicia Vela-Bailey as Saeyla', 'Michelle Rodriguez as Trudy Chacón', 'Dileep Rao as Max Patel', 'Joel David Moore as Norm Spellman', 'Matt Gerald as Lyle Wainfleet', 'Giovanni Ribisi as Parker Selfridge', ""Ilram Choi as Ka'ani"", ""Laz Alonso as Tsu'tey"", 'Alicia Vela-Bailey as Ikeyni', 'Scott Lawrence as Venture Star Crew Chief', 'Peter Mensah as Akwey'}",good
5,Everything Everywhere All at Once,"{'action film', 'family film', 'martial arts film', 'psychedelic film', 'comedy drama', 'absurdist fiction', 'science fiction film'}",2022,"{'Dan Kwan', 'Daniel Scheinert', 'Mike Larocca', 'Russo brothers'}",Daniel Scheinert,"{'Dan Kwan', 'Daniel Scheinert'}","{'Jenny Slate', 'Jamie Lee Curtis', 'Stephanie Hsu', 'Tallie Medel', 'Michelle Yeoh', 'Ke Huy Quan', 'Harry Shum', 'Brian Le', 'Daniel Scheinert', 'Biff Wiff', 'James Hong', 'Andy Le', 'Efka Kvaraciejus'}",R,"{'Harry Shum as Chad', 'Stephanie Hsu as Jobu Tupaki', 'Tallie Medel as Becky Sregor', 'Stephanie Hsu as Joy Wang', 'Jenny Slate as Debbie the Dog Mom', 'James Hong as Gong Gong', 'Andy Le as Alpha Jumper – Bigger Trophy', 'Michelle Yeoh as Evelyn Wang', 'Brian Le as Alpha Jumper – Trophy', 'Biff Wiff as Rick', 'Ke Huy Quan as Waymond Wang', 'Jamie Lee Curtis as Deirdre Beaubeirdra', 'Jenny Slate as Big Nose'}",average
6,Top Gun,"{'drama film', 'romance film', 'melodrama', 'action film'}",1986,"{'Jerry Bruckheimer', 'Don Simpson'}",Tony Scott,"{'Jack Epps, Jr.', 'Jim Cash'}","{'John Stockwell', 'Whip Hubley', 'Val Kilmer', 'Michael Ironside', 'Rick Rossovich', 'Barry Tubb', 'Tom Skerritt', 'Kelly McGillis', 'James Tolkan', 'Tim Robbins', 'Adrian Pasdar', 'Anthony Edwards', 'Tom Cruise', 'Clarence Gilyard', 'Meg Ryan'}",PG,"{'John Stockwell as Lt. Bill ""Cougar"" Cortell', 'Rick Rossovich as LTJG Ron ""Slider"" Kerner', ""Val Kilmer as Lt. Tom 'Iceman' Kazansky"", 'James Tolkan as Cmdr. Tom ""Stinger"" Jardian', ""Anthony Edwards as LTJG Nick 'Goose' Bradshaw"", 'Meg Ryan as Carole Bradshaw', ""Tim Robbins as Lt. Sam 'Merlin' Wells"", 'Tom Cruise as Lt. Pete ""Maverick"" Mitchell', 'Kelly McGillis as Charlotte ""Charlie"" Blackwood', 'Adrian Pasdar as Lt. Charles ""Chipper"" Piper', ""Whip Hubley as Lt. Rick 'Hollywood' Neven"", 'Tom Skerritt as Cmdr. Mike ""Viper"" Metcalf', ""Michael Ironside as Lt. Cmdr. Rick 'Jester' Heatherly"", 'Barry Tubb as LTJG Leonard ""Wolfman"" Wolfe', 'Clarence Gilyard as LTJG Marcus ""Sundown"" Williams'}",average
7,Glass Onion: A Knives Out Mystery,"{'police film', 'mystery film', 'thriller film', 'crime film', 'drama film', 'comedy film'}",2022,"{'Ram Bergman', 'Rian Johnson'}",Rian Johnson,{'Rian Johnson'},"{'Ethan Hawke', 'Angela Lansbury', 'Leslie Odom Jr.', 'Kathryn Hahn', 'Janelle Monáe', 'Madelyn Cline', 'Kate Hudson', 'Kareem Abdul-Jabbar', 'Jackie Hoffman', 'Yo-Yo Ma', 'Daniel Craig', 'Stephen Sondheim', 'Dave Bautista', 'Joseph Gordon-Levitt', 'Dallas Roberts', 'Edward Norton', 'Jessica Henwick', 'Serena Williams', 'Noah Segan', 'Hugh Grant', 'Natasha Lyonne'}",PG-13,"{'Kathryn Hahn as Claire Debella', 'Jessica Henwick as Peg', 'Dave Bautista as Duke Cody', 'Kate Hudson as Birdie Jay', 'Leslie Odom Jr. as Lionel Toussaint', 'Janelle Monáe as Helen Brand', 'Noah Segan as Derol', 'Janelle Monáe as Andi Brand', ""Ethan Hawke as l'homme qui vaccine"", 'Dallas Roberts as Devon Debella', 'Jackie Hoffman as Ma', 'Hugh Grant as Phillip', 'Edward Norton as Miles Bron', 'Madelyn Cline as Whiskey'}",excellent
8,Elvis,"{'drama film', 'gambling film', 'biographical film', 'musical film'}",2022,"{'Gail Berman', 'Catherine Martin', 'Baz Luhrmann'}",Baz Luhrmann,"{'Baz Luhrmann', 'Craig Pearce'}","{'Kelvin Harrison Jr.', 'Tony Nixon', 'Dacre Montgomery', 'Xavier Samuel', 'Christopher Sommers', 'Mike Bingaman', 'Helen Thomson', 'Chaydon Jay', 'David Wenham', 'David Gannon', 'Josh McConville', 'Yola', 'Olivia DeJonge', 'Tom Hanks', 'Nicholas Bell', 'Natasha Bassett', 'Richard Roxburgh', 'Kodi Smit-McPhee', 'Christian McCarty', 'Kate Mulvany', 'Shonka Dukureh', 'Alton Mason', 'Gareth Davies', 'Patrick Sheare', 'Adam Dunn', 'Gary Clark Jr.', 'Alex Radu', 'Mark Leonard Winter', 'Leon Ford', 'Terepai Richmond', 'Luke Bracey', 'Austin Butler'}",PG-13,"{'Richard Roxburgh as Vernon Presley', 'Josh McConville as Sam Phillips', 'Nicholas Bell as Senator Jim Eastland', 'Olivia DeJonge as Priscilla Presley', 'Mark Leonard Winter as Tom Hulett', 'Mike Bingaman as Sonny West', 'Alex Radu as George Klein', 'Alton Mason as Little Richard', 'David Gannon as Charlie Hodge', 'Patrick Sheare as Dewey Phillips', 'Xavier Samuel as Scotty Moore', 'Austin Butler as Elvis Presley', 'Christian McCarty as Red West', 'Tom Hanks as Colonel Tom Parker', 'Christopher Sommers as Horace Logan', 'Tony Nixon as Dr. George C.Nichopoulos', 'Kodi Smit-McPhee as Jimmie Rodgers Snow', 'Helen Thomson as Gladys Presley', 'Chaydon Jay as young Elvis Presley', 'Leon Ford as Tom Diskin', 'Adam Dunn as Bill Black', 'Luke Bracey as Jerry Schilling', 'Kate Mulvany as Marion Keisker', 'Gary Clark Jr. as Arthur Crudup', 'Gareth Davies as Bones Howe', 'Yola as Sister Rosetta Tharpe', 'David Wenham as Hank Snow', 'Dacre Montgomery as Steve Binder', 'Kelvin Harrison Jr. as B. B. King', 'Natasha Bassett as Dixie Locke'}",good
9,The Batman,"{'drama fiction', 'detective film', 'action film', 'superhero film'}",2022,"{'Matt Reeves', 'Dylan Clark'}",Matt Reeves,"{'Matt Reeves', 'Peter Craig'}","{'Zoë Kravitz', 'Rodrig Andrisan', 'Jay Lycurgo', 'Robert Pattinson', 'Jimmy Star', 'Todd Boyce', 'Peter Sarsgaard', 'Ed Kear', 'Mark Killeen', 'Jayme Lawson', 'Elliot Warren', 'Elijah Baker', 'Bern Collaco', 'Charlie Carver', 'Jeffrey Wright', 'Kadrolsha Ona Carole', 'Zoltan Rencsar', 'Luke Roberts', 'Will Rowlands', 'Rupert Penry-Jones', 'Archie Barnes', 'Joseph Balderrama', 'Ruth Horrocks', 'Colin Farrell', 'Max Carver', 'Elena Saurel', 'Barry Keoghan', 'Paul Dano', ""Con O'Neill"", 'Daniel Eghan', 'Andy Serkis', 'Janine Harouni', 'John Turturro', 'Alex Ferns'}",PG-13,"{""Archie Barnes as mitchell's son""}",good
