,name,genres,creator,screenwriter,cast_member,awards_received,character,rating
0,Stranger Things,"{'drama television series', 'horror television series', 'science fiction television series', 'coming-of-age television program'}","{'Ross Duffer', 'Andrew Stanton', 'Richard Greenberg', 'Matt Duffer', 'Shawn Levy'}","{'Ross Duffer', 'Matt Duffer'}","{'Winona Ryder', 'Finn Wolfhard', 'Millie Bobby Brown', 'Joe Chrest', 'Amy Seimetz', 'Charlie Heaton', 'Aimee Mullins', 'Matthew Modine', 'Caleb McLaughlin', 'Rob Morgan', 'Al Mitchell', 'Jamie Campbell Bower', 'Braileanu Cristina', 'Shannon Purser', 'Noah Schnapp', 'Joseph Quinn', 'David Harbour', 'Grace Van Dien', 'Joe Keery', 'Maya Hawke', 'Priah Ferguson', 'Sadie Sink', 'Sean Astin', 'Brett Gelman', 'Cara Buono', 'Nikola Duricko', 'Ross Partridge', 'Jake Busey', 'Natalia Dyer', 'Eduardo Franco', 'Dacre Montgomery', 'John Paul Reynolds', 'Paul Reiser', 'Cary Elwes', 'Gaten Matarazzo'}",{'Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series'},"{'Demodog', 'Jim Hopper', 'Steve Harrington', 'Joyce Byers', 'Dustin Henderson', 'Will Byers', 'Billy Hargrove', 'Nancy Wheeler', 'Eleven', 'Eddie Munson', 'Jonathan Byers', 'Robin Buckley', 'Mike Wheeler', 'Demogorgon', 'Max Mayfield', 'Lucas Sinclair'}",good
1,The Lord of the Rings: The Rings of Power,"{'action television series', 'fantasy television series', 'adventure television series', 'drama television series', 'television series based on a novel'}","{'Charlotte Brandstrom’, 'Wayne Yip', 'J. A. Bayona'}","{'Jason Cahill', 'Gennifer Hutchison'}","{'Dylan Smith', 'Tyroe Muhafidin', 'Charlie Vickers', 'Anthony Crum', 'Cynthia Addai-Robinson', 'Daniel Weyman', 'Thusitha Jayasundera', 'Lloyd Owen', 'Joseph Mawle', 'Maxim Baldry', 'Robert Aramayo', 'Simon Merrells', 'Owain Arthur', 'Ema Horvath', 'Nazanin Boniadi', 'Megan Richards', 'Lenny Henry', 'Markella Kavenagh', 'Peter Tait', 'Charles Edwards', 'Geoff Morrell', 'Sara Zwangobani', 'Augustus Prew', 'Maxine Cunliffe', 'Ismaël Cruz Córdova', 'Trystan Gravelle', 'Morfydd Clark', 'Amelie Child Villiers', 'Alex Tarrant'}",{'None'},"{'Bronwyn', 'Ontamo', 'Valandil', ""Elanor 'Nori' Brandyfoot""}",average
2,Wednesday,"{'horror television series', 'teen television program', 'crime television series', 'comedy television series', 'coming-of-age fiction', 'comedy horror', 'fantasy television series', 'mystery television series', 'supernatural fiction'}",{'Tim Burton'},"{'Alfred Gough', 'Miles Millar', 'April Blair'}","{'Will Houston', 'Georgie Farmer', 'Luis Guzman’, 'Naomi J. Ogawa'}",{'None'},"{'Marilyn Thornhill', 'Valerie Kinbott', 'Eugene Otinger', 'Yoko Tanaka', 'Xavier Thorpe', 'Bianca Barclay', 'Larissa Weems', 'Enid Sinclair', 'Joseph Crackstone', 'Ajax Petropolus', 'Donovan Galpin', 'Mayor Walker', 'Tyler Galpin'}",average
3,Obi-Wan Kenobi,"{'science fiction television series', 'science fiction'}",{'Deborah Chow'},{'Hossein Amini'},"{'Jimmy Smits', 'Ewan McGregor', 'Indira Varma', 'Moses Ingram'}",{'None'},"{'Darth Vader', 'Obi-Wan Kenobi'}",average
4,Yellowstone,"{'drama television series', 'television western'}",{'Taylor Sheridan'},{'Taylor Sheridan'},"{'Kyle Red Silverstein', 'Kelly Reilly', 'Luke Grimes', 'Kevin Costner'}",{'None'},"{'Thomas Rainwater', 'Dan Jenkins'}",average
5,Breaking Bad,"{'tragedy', 'black comedy', 'television western', 'psychological thriller', 'crime television series', 'thriller television series', 'drama television series'}","{'Felix Enriquez Alcala’, 'Phil Abraham', 'Terry McDonough', 'Colin Bucksey', 'Johan Renck', 'Scott Winant', 'Adam Bernstein', 'Jim McKay', 'David Slade', 'Charles Haid', 'John Dahl', 'Bryan Cranston', 'Sam Catlin', 'Rian Johnson', 'Thomas Schnauz', 'Tricia Brock', 'Michael Slovis', 'Peter Gould', 'Peter Medak', 'Tim Hunter', 'Michelle MacLaren', 'Vince Gilligan', 'Bronwen Hughes', 'George Mastras', 'John Shiban'}","{'Vince Gilligan', 'George Mastras', 'Peter Gould', 'Sam Catlin', 'Thomas Schnauz', 'John Shiban'}","{'Raymond Cruz', 'Bob Odenkirk', 'DJ Qualls', 'David Ury', 'Todd Terry'}","{'Primetime Emmy Award for Outstanding Writing for a Drama Series', 'Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Drama Series'}","{'Lydia Rodarte-Quayle', 'Walter White', 'Hank Schrader', 'Gus Fring', 'Walter White Jr.', 'Tuco Salamanca', 'Jesse Pinkman', 'Skyler White', 'Todd Alquist', 'Ted Beneke', 'Marie Schrader', 'Mike Ehrmantraut', 'Saul Goodman', 'Hector Salamanca'}",excellent
6,Ms. Marvel,"{'action-adventure film', 'superhero film', 'coming-of-age film', 'comedy film'}","{'Adil El Arbi', 'Meera Menon', 'Bilall Fallah', 'Sharmeen Obaid-Chinoy'}","{'Freddy Syborn', 'Fatimah Asghar', 'Will Dunn', 'A. C. Bradley', 'Bisha K. Ali'}","{'Rish Shah', 'Alysia Reiner', 'Mohan Kapur', 'Mehwish Hayat', 'Iman Vellani', 'Nimra Bucha', 'Arian Moayed', 'Yasmeen Fletcher', 'Laurel Marsden', 'Fawad Khan', 'Farhan Akhtar', 'Zenobia Shroff', 'Matt Lintz', 'Samina Ahmad', 'Travina Springer', 'Aramis Knight', 'Laith Nakli'}",{'None'},"{'DODC Agent Sadie Deever', 'Yusuf Khan', 'Nakia Bahadir', 'Sheikh Abdullah', 'Bruno Carrelli', 'Waleed', 'DODC Agent Cleary', 'Hasan', 'Kamran'}",average
7,Peaky Blinders,"{'drama television series', 'costume drama', 'historical drama'}",{'David Caffrey'},{'Steven Knight'},"{'Dorian Lough', 'Rory Keenan', 'Aidan Gillen', 'Sam Claflin', 'Graeme Hawley', 'Peter Coonan', 'David Dawson'}","{'Royal Television Society Awards', 'British Academy Television Craft Awards', 'BAFTA Award for Best Direction'}","{'John Shelby', 'Polly Gray', 'Winston Churchill', 'Jessie Eden', 'Arthur Shelby', 'Arthur Bigge, 1st Baron Stamfordham', 'Alfie Solomons', 'Charles Sabini', 'Diana Mosley', 'Tommy Shelby', 'Oswald Mosley', 'Brilliant Chang'}",good
8,The Crown,"{'drama television series', 'biographical film', 'crime film'}","{'Philip Martin', 'Julian Jarrold', 'Stephen Daldry'}",{'Peter Morgan'},"{'Burghart Klaubner', 'Thom Tuck', 'Julian Baring', 'William Ellis', 'Emma Corrin', 'Jessica De Gouw', 'Grahame Fox', 'Lucy Russell', 'Richard Clifford', 'Justified Prince', 'Tom Brooke', 'Mirrah Foulkes', 'Geraldine Chaplin', 'Anton Lesser', 'Hanako Footman', 'Andrew-Lee Potts', 'Clancy Brown', 'Rupert Vansittart', 'Alan David', 'Pippa Winslow', 'Donald Douglas', 'Ian Hallard', 'Guy Chambers', 'Martin McDougall', 'Nia Roberts', 'Martin Bishop', 'Matt Rippy', 'Attila G. Kerekes', 'Yves Aubert', 'Jonathan Newth', 'Patrick Drury', 'Daniel Ings', 'Keith Chopping’}",{'None'},"{'James Jesus Angleton', 'Anthony Eden', 'Edward VIII of the United Kingdom', 'Piers Legh', 'Christian Pineau', 'Cecil Parkinson', 'Richard Dimbleby'}",average
9,1899,"{'horror fiction', 'historical drama', 'drama film', 'thriller', 'science fiction'}",{'Baran bo Odar'},"{'Jantje Friese', 'Baran bo Odar'}","{'Andreas Pietschmann', 'Miguel Bernardeau', 'Emily Beecham', 'Aneurin Barnard'}",{'None'},"{'Daniel Solace', 'Eyk Larsen', 'Angel', 'Maura Franklin', 'Maura Singleton'}",average
10,The Big Bang Theory,{'American television sitcom'},{'Mark Cendrowski'},"{'Bill Prady', 'Chuck Lorre', 'Steven Molaro'}","{'Laurie Metcalf', 'James Hong', 'Sara Gilbert', 'Charlie Sheen', 'DJ Qualls', 'Kevin Sussman', 'Laura Spencer’}","{""Critics' Choice Television Award for Best Comedy Supporting Actress"",'Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series'}","{'Bernadette Rostenkowski-Wolowitz', 'Stuart Bloom', 'Sheldon Cooper', 'Leslie Winkle', 'Leonard Hofstadter', 'Howard Wolowitz', 'Penny', 'Raj Koothrappali', 'Amy Farrah Fowler', 'Mary Cooper'}",excellent
11,The Last of Us,"{'drama television series', 'post-apocalyptic television series', 'adventure television series'}","{'Kantemir Balagov', 'Craig Mazin', 'Neil Druckmann'}","{'Craig Mazin', 'Neil Druckmann'}","{'Jeffrey Pierce', 'Storm Reid', 'Anna Torv', 'Keivonn Woodard', 'Nico Parker', 'Pedro Pascal', 'Murray Bartlett', 'Bella Ramsey', 'Nick Offerman', 'Merle Dandridge', 'Gabriel Luna'}",{'None'},"{'Sarah', 'Riley', 'Bill', 'Joel', 'Sam', 'Anna', 'David', 'James', 'Frank', 'Tommy', 'Tess', 'Ellie', 'Maria', 'Marlene', 'Henry', 'Perry'}",average
12,Downton Abbey,"{'drama television series', 'historical drama', 'historical television series', 'LGBTI+ related TV series'}","{'Brian Kelly', 'James Strong', 'Lu Yue', 'Brian Percival', 'Michael Engler', 'Andy Goddard', 'Philip John', 'Edward Hall', 'David Evans', 'Jeremy Webb', 'Catherine Morshead'}","{'Julian Fellowes', 'Shelagh Stephenson'}","{'Raquel Cassidy', 'Jonathan Coy', 'Paul Copley', 'Rupert Frazer', 'Trevor Cooper', 'Anna Chancellor', 'Christine Lohr'}",{'None'},"{'Virginia Woolf', 'Rowland Baring, 2nd Earl of Cromer', 'George V', 'Edward VIII of the United Kingdom', 'Neville Chamberlain', 'John Ward', 'Freda Dudley Ward', 'Nellie Melba', 'Mary of Teck', 'George VI', 'Cosmo Gordon Lang'}",average
13,Lucifer,{'fantasy television series'},"{'Kevin Alejandro', 'Len Wiseman'}",{'Tom Kapinos'},"{'Rachael Harris', 'Kevin Alejandro', 'Brianna Hildebrand', 'Tricia Helfer', 'Tom Welling', 'Lesley-Ann Brandt', 'Dennis Haysbert', 'Adam Korson', 'Scarlett Estevez', 'Lauren German', 'Kevin Rankin', 'D. B. Woodside', 'Inbar Lavi', 'Timothy Omundson', 'Tom Ellis', 'Aimee Garcia'}",{'None'},"{'Chloe Decker', 'Ella Lopez', 'Eve', 'Amenadiel', 'Dan Espinoza', 'Linda Martin', 'Mazikeen', 'Presence', 'Cain', 'Trixie Espinoza', 'Lucifer Morningstar'}",average
14,Heartstopper,"{'teen drama', 'LGBTI+ related TV series'}",{'Euros Lyn'},{'Alice May Oseman'},"{'Ashwin Vishwanath', 'Evan Ovenell', 'Rhea Norwood', 'William Gao', 'Cormac Hyde-Corrin', 'Sebastian Croft', 'Fisayo Akinade', 'Tobie Donovan', 'Yasmin Finney', 'Olivia Colman', 'Emily Ng', 'Corinna Brown', 'Chetna Pandya', 'Kizzy Edgell', 'Joe Locke', 'Jenny Walser', 'Araloyin Oshunremi', 'Kit Connor'}",{'MTV Movie Award for Best Song from a Movie'},"{'Sai Verma', 'Elle Argent', 'Harry Greene', 'Charlie Spring', 'Tao Xu', 'Imogen Heaney', 'Christian McBride', 'Isaac Henderson', 'Darcy Olsson', 'Madame Martin', 'Tara Jones', 'Tori Spring', 'Mr. Ajayi', 'Nick Nelson', 'Sarah Nelson', 'Otis Smith', 'Coach Singh', 'Ben Hope'}",good
15,The Flash,"{'action television series', 'superhero television program', 'science fiction television series', 'time-travel television program', 'drama television series'}",{'David Nutter'},"{'Andrew Kreisberg', 'Geoff Johns'}","{'LaMonica Garrett', 'Carlos Valdez', 'Patrick Sabongui', 'Grant Gustin', 'Teddy Sears', 'Tom Felton', 'Neil Sandilands', 'Victoria Park', 'Chris Klein', 'Robbie Amell', 'Malese Jow', 'Victor Garber', 'Efrat Dor', 'Michelle Harrison', 'Tom Cavanagh', 'Rick Cosnett', 'Violett Beane', 'Jessica Parker Kennedy', 'Kayla Compton', 'Candice Patton', 'Danielle Panabaker', 'Jessica Camacho', 'Jesse L. Martin', 'Keiynan Lonsdale', 'Kim Engelbrecht', 'Danielle Nicolet', 'Hartley Sawyer', 'Wentworth Miller', 'John Wesley Shipp'}",{'None'},"{'Iris West-Allen', 'Eddie Thawne', 'Wally West', 'Barry Allen', 'Joe West', 'Eobard Thawne'}",average
16,The Expanse,"{'television series based on a novel', 'science fiction television series', 'detective fiction', 'drama television series', 'speculative/fantastic fiction', 'space opera'}","{'Terry McDonough', 'Robert Lieberman'}","{'Mark Fergus', 'Hawk Ostby', 'Ty Franck', 'Daniel Abraham'}","{'Nick E. Tarabay', 'Terry Chen', 'Lola Glaudini', 'Paulo Costanzo', 'Shawn Doyle', 'Chad Coleman', 'Cas Anvar', 'Ted Atherton', 'Wes Chatham', 'Florence Faivre', 'Jay Hernandez', 'Thomas Jane', 'Brian George', 'Steven Strait', 'Cara Gee', 'François Chau', 'Elias Toufexis', 'Shohreh Aghdashloo', 'Leah Madison Jung', 'Frankie Adams', 'Dominique Tipper', 'Elizabeth Mitchell'}","{'Hugo Award for Best Dramatic Presentation, Short Form'}","{'Sadavir Errinwright', 'Jim Holden', 'Julie Mao', 'Amos Burton', 'Kenzo', 'Naomi Nagata', 'Alex Kamal', 'Joe Miller'}",good
17,House,{'medical drama'},"{'Laura Innes', 'Felix Enriquez Alcala’, 'Dan Attias', 'Jace Alexander', 'Nick Gomez', 'Colin Bucksey', 'Frederick King Keller', 'Paul McCrane', 'Daniel Sackheim', 'Newton Thomas Sigel', 'Deran Sarafian', 'Lesli Linka Glatter', 'James Hayman', 'Paris Barclay', 'Greg Yaitanes', 'Keith Gordon', 'Bryan Singer', 'Matt Shakman', 'Bryan Spicer', ""Peter O'Fallon"", 'Hugh Laurie', 'David Semel', 'Nelson McCormick', 'Guy Ferland', 'Sanford Bookstaver', 'R. Lee Ermey', 'David Shore', 'Peter Medak', 'Bill Johnson', 'Tim Hunter', 'Miguel Sapochnik', 'Fred Gerber', 'Elodie Keene', 'Peter Weller', 'Juan J. Campanella', 'Tim Southam'}","{'Garrett Lerner', 'John Mankiewicz', 'Sara Hess', 'Michael R. Perry'}","{'Shirley Knight', 'Cassi Thomson', 'China Shavers', 'Eva Amurri', 'John Scurti', 'Vicki Davis', 'Italia Ricci', 'Erin Cahill', 'Andy Milder'}",{'None'},"{'Thirteen', 'Amber Volakis', 'Jessica Adams', 'Mark Warner', 'Robert Chase', 'Eric Foreman', 'Chris Taub', 'Lucas Douglas', 'Stacy Warner', 'Michael Tritter', 'James Wilson', 'Chi Park', 'Allison Cameron', 'Lisa Cuddy', 'Lawrence Kutner', 'Gregory House', 'Martha Masters'}",average
18,The Last Kingdom,"{'historical drama', 'television series based on a novel'}","{'Nick Murphy', 'Andy De Emmony', 'Jamie Donoughue', 'Peter Hoar', 'Erik Leijonborg', 'Edward Bazalgette', 'Jan Matthys'}","{'Sophie Petzal', 'Stephen Butchard'}","{'Dorian Lough', 'Nikolett Barabás', 'Harry Gilby', 'Ilona Chevakova'}",{'None'},"{'Osberht', 'Guthrum'}",average
19,The Terminal List,"{'drama television series', 'action television series', 'television series based on a novel'}",{'Antoine Fuqua'},{'David DiGilio'},"{'Tyner Rushing', 'Jeanne Tripplehorn', 'Nick Chinlund', 'Jai Courtney', 'Sean Gunn', 'Alexis Louder', 'Patrick Schwarzenegger', 'Chris Pratt', 'LaMonica Garrett', 'Arlo Mertz', 'Arturo Castro', 'Taylor Kitsch', 'Christina Vidal', 'Constance Wu', 'Paul McCrane', 'Riley Keough', 'Tom Amandes', 'J. D. Pardo'}",{'None'},"{'Lucy Reece', 'Katie Buranek', 'Ben Edwards', 'Liz Riley', 'James Reece', 'Gerald Pillar', 'Lorraine Hartley', 'Mike Tedesco', 'Saul Agnon', ""Mackenzie 'Mac' Wilson"", 'Donald ""Donny"" Mitchell', 'Bill Cox', 'Tony Layun', 'Vic Campbell', 'Nicole Deptul', 'Jordan Groff', 'Steve Horn', 'Lauren Reece'}",average
20,Atlanta,{'comedy television series'},"{'Donald Glover', 'Hiro Murai'}",{'Donald Glover'},"{'Donald Glover', 'Brian Tyree Henry', 'Zazie Beetz', 'LaKeith Stanfield'}",{'None'},"{'Earnest ""Earn"" Marks', 'Alfred ""Paper Boi"" Miles', 'Darius', 'Vanessa ""Van"" Keefer'}",average
21,Star Trek: Picard,{'science fiction television series'},"{'Jonathan Frakes', 'Hanelle Culpepper'}","{'James Duff', 'Akiva Goldsman'}","{'Alison Pill', 'Patrick Stewart', 'Nikita Ramsey', 'Ed Speleers', 'Jade Ramsey', 'Marina Sirtis', 'Michelle Hurd', 'Jonathan Frakes', 'Santiago Cabrera', 'Peyton List', 'Jonathan Del Arco', 'Ann Magnuson', 'Harry Treadaway', 'Isa Briones', 'Orla Brady', 'Dinero', 'Casey King', 'Tamlyn Tomita', 'Brent Spiner', 'Jeri Ryan', 'Lulu Wilson', 'Evan Evagora', 'Jamie McShane', 'Rebecca Wisocky'}",{'None'},"{'Laris', 'Soji Asha', 'Elnor', 'Hugh', 'Altan Inigo Soong', 'Cristóbal Rios', 'Number One', 'Icheb', 'Dahj Asha', 'Ramdha', 'Arcana', 'Saga', 'Agnes Jurati', 'Deanna Troi', 'Kirsten Clancy', 'Kestra Troi-Riker', 'Oh', 'Jack Crusher', 'Narissa Rizzo', 'Jean-Luc Picard', 'William Riker', 'Narek', 'Sutra', 'Seven of Nine', 'Data', 'Raffi Musiker', 'Zhaban'}",average
22,Twin Peaks,"{'horror television series', 'science fiction television series', 'psychological thriller', 'crime television series', 'fantasy television series', 'thriller television series', 'drama television series'}","{'Mark Frost', 'David Lynch'}","{'Tricia Brock', 'David Lynch', 'Mark Frost'}","{'Lenny Von Dohlen', 'John Billingsley', 'David Duchovny', 'Laura Dern', 'Michael Ontkean', 'Matthew Lillard', 'James Booth', 'Joan Chen’}","{'Peabody Awards', 'Primetime Emmy Award for Outstanding Costumes for a Series', 'TCA Award for Outstanding Achievement in Drama'}","{'Catherine Martell', ""Tommy 'Hawk' Hill"", 'Lawrence Jacoby', 'Norma Jennings', 'Shelly Johnson', 'Pete Martell', 'Laura Palmer', 'Julee Cruise', 'The Giant', 'Donna Hayward', 'Dale Cooper', 'Josie Packard', 'Lucy Moran', 'Maddy Ferguson', 'Log Lady', 'Bobby Briggs', 'Harry S. Truman', 'Killer BOB', 'Audrey Horne', 'The Man from Another Place', '""Big"" Ed Hurley', 'James Hurley', 'Andy Brennan', 'Ben Horne', 'MIKE', 'Leo Johnson', 'Leland Palmer', 'Gordon Cole', 'Windom Earle'}",excellent
