mr,da,text,word counts,,pred,,num_triples,num_hops,popularity,scores,dacc,LM_prob,PPL,pseudo_bleu,criteria,song_name,
"confirm(name[We Are the World], producer[Michael Omartian])",confirm," Are you referring to the song We Are the World, produced by Michael Omartian?",14,,confirm,1,2,1,popular,0.8326582,1,0.010991333,90.98077393,7.314031827,match_scores_PPL,We Are the World,1
"confirm(name[Apple Shampoo], instance_of[musical work/composition])",confirm,Are you referring to the musical work/composition of Apple Shampoo?,10,,confirm,1,2,1,not so popular,0.9148314,1,0.004738968,211.0164032,6.837203339,match_scores,Apple Shampoo,1
"confirm(name[Style], is_from_album[True])",confirm," Are you referring to Style, the song from an album?",10,,confirm,1,2,1,popular,0.2832186,1,0.005573721,179.4133606,3.386498568,match_scores,Style,1
"confirm(name[Get Up!], performer[Skrillex, Korn])",confirm," Are you referring to the song Get Up!, by Skrillex and Korn?",12,,confirm,1,2,1,not so popular,0.8684407,1,0.015653779,63.88233948,11.63327084,match_scores,Get Up!,1
"confirm(name[Wanna Get to Know You], performer[Joe, G-Unit])",confirm,Are you referring to the song Wanna Get to Know You by Joe and G-Unit?,15,,confirm,1,2,1,not so popular,0.78563076,1,0.013348161,74.91668701,7.655122721,match_scores_PPL,Wanna Get to Know You,1
"confirm(name[Seven Nation Army], producer[Jack White])",confirm,Are you referring to the song Seven Nation Army produced by Jack White?,13,,confirm,1,2,1,popular,0.8390559,1,0.008132155,122.9686279,13.29241788,match_scores_PPL,Seven Nation Army,1
"confirm(name[Kings of the Wild Frontier], publication_year[1980])",confirm,Are you referring to the song Kings of the Wild Frontier released in 1980?,14,,confirm,1,2,1,not so popular,0.8316481,1,0.006228584,160.5501251,6.250381528,match_scores_PPL,Kings of the Wild Frontier,1
"confirm(name[We Are the World], is_from_album[True])",confirm,Are you talking about We Are the World from an album?,11,,confirm,1,2,1,popular,0.44566575,1,0.008113223,123.2555771,7.495553473,match_scores,We Are the World,1
"confirm(name[Afterlife], producer[James Murphy])",confirm,Are you referring to the song Afterlife by James Murphy?,10,,confirm,1,2,1,not so popular,0.85353315,1,0.007861604,127.2005081,8.295193507,match_scores,Afterlife,1
"confirm(name[Break My Soul], genres[house music])",confirm," Are you talking about the house music song, Break My Soul?",11,,confirm,1,2,1,popular,0.83591175,1,0.004975863,200.9701538,11.49875956,match_scores_PPL,Break My Soul,1
"confirm(name[Somebody That I Used to Know], performer[Gotye, Kimbra])",confirm," Are you referring to ""Somebody That I Used to Know"" by Gotye and Kimbra?",14,,confirm,1,2,1,popular,0.8066714,1,0.019373113,51.61793137,16.46702986,match_scores,Somebody That I Used to Know,1
"confirm(name[Marilyn Monroe], producer[Pharrell Williams])",confirm,Are you referring to the song Marilyn Monroe produced by Pharrell Williams?,12,,confirm,1,2,1,not so popular,0.88188285,1,0.011732913,85.23032379,8.737167852,match_scores_PPL,Marilyn Monroe,1
"confirm(name[So Good], genres[pop rap])",confirm,Are you referring to the pop rap song So Good?,10,,confirm,1,2,1,not so popular,0.7354951,1,0.003565666,280.4525452,7.495553473,match_scores_PPL,So Good,1
"confirm(name[Careless Whisper], is_from_album[True])",confirm," Are you referring to Careless Whisper, which is from an album?",11,,confirm,1,2,1,popular,0.53398114,1,0.006980086,143.2647095,6.178110636,match_scores,Careless Whisper,1
"confirm(name[Mad Love], genres[electropop])",confirm,Are you referring to the electropop song Mad Love?,9,,confirm,1,2,1,not so popular,0.7960212,1,0.002672884,374.1277466,8.392229813,match_scores_PPL,Mad Love,1
"confirm(name[Space Oddity], genres[space rock])",confirm,Are you talking about the Space Oddity space rock song?,10,,confirm,1,2,1,popular,0.8462247,1,0.00919488,108.7561722,7.495553473,match_scores_PPL,Space Oddity,1
"confirm(name[Right Here, Right Now], from_album[Déjà Vu])",confirm," Are you referring to Right Here, Right Now from the album Déjà Vu?",13,,confirm,1,2,1,not so popular,0.7803331,1,0.016495768,60.62160873,28.29559628,match_scores_PPL,"Right Here, Right Now",1
"confirm(name[Y.M.C.A.], performer[Village People])",confirm,Are you talking about the song Y.M.C.A. by the Village People?,11,,confirm,1,2,1,popular,0.83571744,1,0.027230212,36.7239151,40.077817,match_scores_PPL,Y.M.C.A.,1
"confirm(name[The Way I Are], producer[Joel Little])",confirm,Are you referring to the song The Way I Are produced by Joel Little?,14,,confirm,1,2,1,not so popular,0.73290294,1,0.006002913,166.5857849,19.5647515,match_scores_PPL,The Way I Are,1
"confirm(name[Dragostea Din Tei], performer[O-Zone])",confirm,Are you referring to the song Dragostea Din Tei by O-Zone?,11,,confirm,1,2,1,popular,0.8957881,1,0.002055974,486.3874512,13.54599427,match_scores_PPL,Dragostea Din Tei,1
"confirm(name[Paint It Black], performer[The Rolling Stones])",confirm,Is Paint It Black the song by The Rolling Stones?,10,,confirm,1,2,1,popular,0.83484244,1,0.005552179,180.1094818,23.46235032,match_scores,Paint It Black,1
"confirm(name[Every Breath You Take], record_label[A&M Records])",confirm,Are you referring to Every Breath You Take from A&M Records?,11,,confirm,1,2,1,popular,0.8650612,1,0.009129405,109.5361633,35.55670236,match_scores,Every Breath You Take,1
"confirm(name[In My Bed], producer[Salaam Remi])",confirm,Are you talking about Salaam Remi's song In My Bed?,10,,confirm,1,2,1,not so popular,0.8770997,1,0.007374472,135.6029358,14.99110695,match_scores,In My Bed,1
"confirm(name[I Was Gonna Cancel], instance_of[musical work/composition])",confirm,Are you referring to the musical work/composition of I Was Gonna Cancel?,12,,confirm,1,2,1,not so popular,0.87409097,1,0.005695237,175.5853271,17.39579738,match_scores,I Was Gonna Cancel,1
"confirm(name[Matador], instance_of[musical work/composition])",confirm,Are you referring to the musical work/composition Matador?,8,,confirm,1,2,1,not so popular,0.914615,1,0.003885752,257.3504639,4.456882761,match_scores_PPL,Matador,1
"confirm(name[Black Barbies], record_label[Interscope Records])",confirm,Are you referring to the song Black Barbies by Interscope Records?,11,,confirm,1,2,1,not so popular,0.8617065,1,0.014940544,66.93196869,9.578464409,match_scores,Black Barbies,1
"confirm(name[Feel Again], from_album[Native])",confirm," Are you referring to ""Feel Again"" from the album Native?",10,,confirm,1,2,1,not so popular,0.6421788,1,0.004672962,213.9970245,6.837203339,match_scores,Feel Again,1
"confirm(name[Afterlife], instance_of[single])",confirm,Are you referring to the song Afterlife which is a single?,11,,confirm,1,2,1,not so popular,0.67739874,1,0.006503857,153.7549133,3.386498568,match_scores,Afterlife,1
"confirm(name[Black Barbies], performer[Nicki Minaj])",confirm,Are you referring to the Nicki Minaj song Black Barbies?,10,,confirm,1,2,1,not so popular,0.9136424,1,0.012916073,77.4229126,10.60031338,match_scores,Black Barbies,1
"confirm(name[So Good], performer[B.o.B])",confirm,Are you referring to the song So Good by B.o.B?,10,,confirm,1,2,1,not so popular,0.7635143,1,0.017834783,56.0702095,9.103526406,match_scores_PPL,So Good,1
"confirm(name[Viva la Vida], from_album[Viva la Vida or Death and All His Friends])",confirm,Are you referring to Viva la Vida from the album Viva la Vida or Death and All His Friends?,19,,confirm,1,2,1,popular,0.94606215,1,0.020378665,49.07092667,9.107438368,match_scores,Viva la Vida,1
"confirm(name[Que Calor], producer[Diplo])",confirm,Are you referring to Diplo's song Que Calor?,8,,confirm,1,2,1,not so popular,0.8365106,1,0.004013234,249.1756287,9.535414041,match_scores,Que Calor,1
"confirm(name[For a Friend], from_album[Red])",confirm," Are you talking about ""For a Friend"" from the album Red?",11,,confirm,1,2,1,not so popular,0.6129407,1,0.007227856,138.3536224,3.737437944,match_scores,For a Friend,1
