mr,text,word counts,,pred,,num_triples,num_hops,popularity,scores,,dacc,LM_prob,PPL,pseudo_bleu,criteria,song_name,
"confirm(name[We Are the World], producer[Michael Omartian])"," Are you referring to the song We Are the World, produced by Michael Omartian?",14,,confirm,#REF!,2,1,popular,0.8326582,,#REF!,0.01099133319,90.98077393,7.314031827,match_scores_PPL,We Are the World,#REF!
"confirm(name[Apple Shampoo], instance_of[musical work/composition])",Are you referring to the musical work/composition of Apple Shampoo?,10,,confirm,#REF!,2,1,not so popular,0.9148314,,#REF!,0.004738968084,211.0164032,6.837203339,match_scores,Apple Shampoo,#REF!
"confirm(name[Style], is_from_album[True])"," Are you referring to Style, the song from an album?",10,,confirm,#REF!,2,1,popular,0.2832186,,#REF!,0.005573720913,179.4133606,3.386498568,match_scores,Style,#REF!
"confirm(name[Get Up!], performer[Skrillex, Korn])"," Are you referring to the song Get Up!, by Skrillex and Korn?",12,,confirm,#REF!,2,1,not so popular,0.8684407,,#REF!,0.01565377862,63.88233948,11.63327084,match_scores,Get Up!,#REF!
"confirm(name[Wanna Get to Know You], performer[Joe, G-Unit])",Are you referring to the song Wanna Get to Know You by Joe and G-Unit?,15,,confirm,#REF!,2,1,not so popular,0.78563076,,#REF!,0.013348161,74.91668701,7.655122721,match_scores_PPL,Wanna Get to Know You,#REF!
"confirm(name[Seven Nation Army], producer[Jack White])",Are you referring to the song Seven Nation Army produced by Jack White?,13,,confirm,#REF!,2,1,popular,0.8390559,,#REF!,0.008132155468,122.9686279,13.29241788,match_scores_PPL,Seven Nation Army,#REF!
"confirm(name[Kings of the Wild Frontier], publication_year[1980])",Are you referring to the song Kings of the Wild Frontier released in 1980?,14,,confirm,#REF!,2,1,not so popular,0.8316481,,#REF!,0.00622858437,160.5501251,6.250381528,match_scores_PPL,Kings of the Wild Frontier,#REF!
"confirm(name[We Are the World], is_from_album[True])",Are you talking about We Are the World from an album?,11,,confirm,#REF!,2,1,popular,0.44566575,,#REF!,0.008113223139,123.2555771,7.495553473,match_scores,We Are the World,#REF!
"confirm(name[Afterlife], producer[James Murphy])",Are you referring to the song Afterlife by James Murphy?,10,,confirm,#REF!,2,1,not so popular,0.85353315,,#REF!,0.007861603816,127.2005081,8.295193507,match_scores,Afterlife,#REF!
"confirm(name[Break My Soul], genres[house music])"," Are you talking about the house music song, Break My Soul?",11,,confirm,#REF!,2,1,popular,0.83591175,,#REF!,0.004975863237,200.9701538,11.49875956,match_scores_PPL,Break My Soul,#REF!
