mr,mr_new,da,errors,incorrect,duplicate,mr_len,SACC
"confirm(name[So Good], publication_year[2012])",So Good publication year 2012. So Good domain songs.,confirm,0,,,2,100
"confirm(name[Y.M.C.A.], record_label[Casablanca Records])",Y.M.C.A. record label Casablanca Records. Y.M.C.A. domain songs.,confirm,0,,,2,100
"confirm(name[Black Barbies], performer[Nicki Minaj])",Black Barbies performer Nicki Minaj. Black Barbies domain songs.,confirm,0,,,2,100
"confirm(name[In My Bed], genres[soul music])",In My Bed genres soul music. In My Bed domain songs.,confirm,0,,,2,100
"confirm(name[Money, Cash, Hoes], genres[East Coast hip hop])","Money, Cash, Hoes genres East Coast hip hop. Money, Cash, Hoes domain songs.",confirm,0,,,2,100
"confirm(name[Break My Soul], performer[Beyoncé])",Break My Soul performer Beyoncé. Break My Soul domain songs.,confirm,0,,,2,100
"confirm(name[Space Oddity], record_label[Philips Records])",Space Oddity record label Philips Records. Space Oddity domain songs.,confirm,0,,,2,100
"confirm(name[Kings of the Wild Frontier], producer[Chris Hughes])",Kings of the Wild Frontier producer Chris Hughes. Kings of the Wild Frontier domain songs.,confirm,0,,,2,100
"confirm(name[Cold Heart], producer[Pnau])",Cold Heart producer Pnau. Cold Heart domain songs.,confirm,0,,,2,100
"confirm(name[Cold Heart], from_album[N/A""])","Cold Heart from album N/A"". Cold Heart domain songs.",confirm,0,,,2,100
"confirm(name[Every Breath You Take], genres[pop rock])",Every Breath You Take genres pop rock. Every Breath You Take domain songs.,confirm,0,,,2,100
"confirm(name[I], producer[Rahki])",I producer Rahki. I domain songs.,confirm,0,,,2,100
"confirm(name[Wild], performer[Troye Sivan])",Wild performer Troye Sivan. Wild domain songs.,confirm,0,,,2,100
"confirm(name[Littlest Things], publication_year[2006])",Littlest Things publication year 2006. Littlest Things domain songs.,confirm,0,,,2,100
"confirm(name[Careless Whisper], record_label[Columbia Records])",Careless Whisper record label Columbia Records. Careless Whisper domain songs.,confirm,0,,,2,100
"confirm(name[Take My Breath Away], performer[Berlin])",Take My Breath Away performer Berlin. Take My Breath Away domain songs.,confirm,0,,,2,100
"confirm(name[Mad Love], producer[Steve Mac])",Mad Love producer Steve Mac. Mad Love domain songs.,confirm,0,,,2,100
"confirm(name[The Way I Are], performer[Bebe Rexha])",The Way I Are performer Bebe Rexha. The Way I Are domain songs.,confirm,0,,,2,100
"confirm(name[Blinding Lights], from_album[The Weeknd singles discography])",Blinding Lights from album The Weeknd singles discography. Blinding Lights domain songs.,confirm,0,,,2,100
"confirm(name[Dragostea Din Tei], record_label[Polydor Records])",Dragostea Din Tei record label Polydor Records. Dragostea Din Tei domain songs.,confirm,0,,,2,100
"confirm(name[Dog Eat Dog], record_label[Sony Music])",Dog Eat Dog record label Sony Music. Dog Eat Dog domain songs.,confirm,0,,,2,100
"confirm(name[Afterlife], from_album[Reflektor])",Afterlife from album Reflektor. Afterlife domain songs.,confirm,0,,,2,100
"confirm(name[Mr. Brightside], publication_year[2003])",Mr. Brightside publication year 2003. Mr. Brightside domain songs.,confirm,0,,,2,100
"confirm(name[Feel Again], publication_year[2012])",Feel Again publication year 2012. Feel Again domain songs.,confirm,0,,,2,100
"confirm(name[As It Was], genres[synth-pop])",As It Was genres synth-pop. As It Was domain songs.,confirm,0,,,2,100
"confirm(name[Littlest Things], record_label[Regal Recordings])",Littlest Things record label Regal Recordings. Littlest Things domain songs.,confirm,0,,,2,100
